model,image_id,fae_method,metric,score,error
resnet18,ISIC_0012356,lrp,avg_sensitivity,45.097224950790405,
resnet18,ISIC_0012356,lrp,relevance_mass_accuracy,9.501874923706055,
resnet18,ISIC_0012356,lrp,pointing_game,1.0,
resnet18,ISIC_0012356,lrp,sparseness,0.8729892525088125,
resnet18,ISIC_0012356,lrp,complexity,9.850051879882812,
resnet18,ISIC_0012356,lrp,model_parameter_randomisation,,nan
resnet18,ISIC_0012356,lrp,random_logit,0.9618011860382364,
resnet18,ISIC_0012356,lrp,completeness,0.0,
resnet18,ISIC_0012356,lrp,non_sensitivity,,nan
resnet18,ISIC_0012356,occlusion,faithfulness_correlation,0.0780690461397171,
resnet18,ISIC_0012356,occlusion,pixel_flipping,23.70174217224121,
resnet18,ISIC_0012356,occlusion,max_sensitivity,1.5229856967926025,
resnet18,ISIC_0012356,occlusion,avg_sensitivity,1.2972914457321167,
resnet18,ISIC_0012356,occlusion,relevance_mass_accuracy,1.6990344524383545,
resnet18,ISIC_0012356,occlusion,pointing_game,0.0,
resnet18,ISIC_0012356,occlusion,sparseness,0.45234170021557857,
resnet18,ISIC_0012356,occlusion,complexity,11.572364807128906,
resnet18,ISIC_0012356,occlusion,model_parameter_randomisation,,nan
resnet18,ISIC_0012356,occlusion,random_logit,0.4111790083127092,
resnet18,ISIC_0012356,occlusion,completeness,,nan
resnet18,ISIC_0012356,occlusion,non_sensitivity,,nan
squeezenet,ISIC_0012356,integrated_gradients,faithfulness_correlation,-0.17938867211341858,
squeezenet,ISIC_0012356,integrated_gradients,pixel_flipping,44.73589324951172,
squeezenet,ISIC_0012356,integrated_gradients,max_sensitivity,1.4366040229797363,
squeezenet,ISIC_0012356,integrated_gradients,avg_sensitivity,1.3759448051452636,
squeezenet,ISIC_0012356,integrated_gradients,relevance_mass_accuracy,-0.059456609189510345,
squeezenet,ISIC_0012356,integrated_gradients,pointing_game,0.0,
squeezenet,ISIC_0012356,integrated_gradients,sparseness,0.693004264557287,
squeezenet,ISIC_0012356,integrated_gradients,complexity,10.988967895507812,
squeezenet,ISIC_0012356,integrated_gradients,model_parameter_randomisation,,nan
squeezenet,ISIC_0012356,integrated_gradients,random_logit,0.6421172686061142,
squeezenet,ISIC_0012356,integrated_gradients,completeness,0.0,
squeezenet,ISIC_0012356,integrated_gradients,non_sensitivity,,nan
squeezenet,ISIC_0012356,saliency,faithfulness_correlation,0.33966508507728577,
squeezenet,ISIC_0012356,saliency,pixel_flipping,66.97151184082031,
squeezenet,ISIC_0012356,saliency,max_sensitivity,1.0701885223388672,
squeezenet,ISIC_0012356,saliency,avg_sensitivity,0.9661977231502533,
squeezenet,ISIC_0012356,saliency,relevance_mass_accuracy,0.5090512037277222,
squeezenet,ISIC_0012356,saliency,pointing_game,0.0,
squeezenet,ISIC_0012356,saliency,sparseness,0.5829375615931144,
squeezenet,ISIC_0012356,saliency,complexity,11.307221412658691,
squeezenet,ISIC_0012356,saliency,model_parameter_randomisation,,nan
squeezenet,ISIC_0012356,saliency,random_logit,0.47463154337347824,
squeezenet,ISIC_0012356,saliency,completeness,,nan
squeezenet,ISIC_0012356,saliency,non_sensitivity,,nan
squeezenet,ISIC_0012356,gradcam,faithfulness_correlation,-0.03352233022451401,
squeezenet,ISIC_0012356,gradcam,pixel_flipping,230.1300811767578,
squeezenet,ISIC_0012356,gradcam,max_sensitivity,0.5439144968986511,
squeezenet,ISIC_0012356,gradcam,avg_sensitivity,0.48154081404209137,
squeezenet,ISIC_0012356,gradcam,relevance_mass_accuracy,0.3694548010826111,
squeezenet,ISIC_0012356,gradcam,pointing_game,0.0,
squeezenet,ISIC_0012356,gradcam,sparseness,0.7087298921022879,
squeezenet,ISIC_0012356,gradcam,complexity,10.856521606445312,
